0   82.3    65.3    68.8    51.8
2   78.5    61.5    64.8    47.8
4   74.3    57.3    62.1    45.1
6   70.7    53.7    59.9    42.9
8   67.6    50.6    57.7    40.7
10  65      48      55.9    38.9
12  62.5    45.5    53.9    36.9
14  60.1    43.1    52.3    35.3
16  58.1    41.1    50.8    33.8
18  56.1    39.1    49.5    32.5
20  54.3    37.3    48.1    31.1
22  52.8    35.8    46.8    29.8
24  51.2    34.2    45.9    28.9
26  49.9    32.9    44.8    27.8
28  48.6    31.6    43.7    26.7
30  47.2    30.2    42.6    25.6
32  46.1    29.1    41.7    24.7
34  45      28      40.8    23.8
36  43.9    26.9    39.9    22.9
38  43      26      39.3    22.3
40  41.9    24.9    38.6    21.6
42  41      24      37.7    20.7
44  40.1    23.1    37      20
46  39.5    22.5    36.4    19.4
